StudentID,Arkonian Warfare Tactics,ExoGenetics Evolution,Transdimensional Navigation,Warp Field Theory,Dark Matter Biophysics,Zarnithian Philosophy,Drakthon Linguistics,Xynthium Material Sciences,Hyperspace Topology,Helio-Bio Interface,Luminarian Art Theory,Stellar Cartography,Chrono-Kinetics,Technotronic Linguistic Fusion,Cybernetic Ethics,Nebulon Astrophysics,Quasar Dynamics,Glacial Holo-Architecture,Aether Resonance,Gravix Planetary Studies,Vortex Quantum Mechanics,Holo-Temporal Engineering,Psi-Energy Manipulation,Plasmawave Analysis,Neutronia Metallurgy,Syntho-Chemical Engineering,Sublight Propulsion Systems,Krythos Biomechanics,Flux Capacitor Management,Xyloprax Computation,Yridium Power Systems,Quantum Neuro-Hacking,Zyglon Neurology
10,7.0,7.0,8.0,8.0,9.0,7.0,7.0,8.0,8.0,7.0,7.0,8.0,7.0,6.0,8.0,8.0,7.0,7.0,8.0,9.0,8.0,9.0,9.0,8.0,7.0,7.0,8.0,7.0,8.0,9.0,7.0,8.0,9.0
11,7.0,9.0,8.0,9.0,8.0,9.0,9.0,10.0,8.0,8.0,6.0,9.0,6.0,8.0,7.0,8.0,9.0,9.0,7.0,8.0,8.0,8.0,10.0,10.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,7.0,9.0
12,7.0,6.0,7.0,6.0,8.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,7.0,8.0,6.0,7.0,7.0,7.0,8.0,8.0,7.0,7.0,7.0
13,7.0,6.0,9.0,8.0,10.0,7.0,7.0,9.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,7.0,6.0,7.0,6.0,8.0,10.0,9.0,7.0,10.0,7.0,8.0,9.0,8.0,7.0,7.0,8.0,7.0,8.0
14,7.0,8.0,7.0,9.0,7.0,9.0,7.0,9.0,9.0,9.0,8.0,9.0,8.0,7.0,6.0,8.0,7.0,6.0,8.0,10.0,9.0,9.0,10.0,9.0,8.0,8.0,7.0,8.0,8.0,8.0,9.0,7.0,7.0
15,6.0,7.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,9.0,8.0,7.0,8.0,7.0,7.0,6.0,9.0,8.0,9.0,9.0,8.0,9.0,6.0,8.0,7.0,8.0,10.0,9.0,8.0,8.0,8.0
16,6.0,6.0,7.0,6.0,8.0,7.0,6.0,9.0,6.0,7.0,6.0,7.0,6.0,7.0,6.0,7.0,6.0,7.0,6.0,6.0,8.0,7.0,6.0,9.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,7.0,6.0
17,6.0,6.0,7.0,6.0,7.0,7.0,7.0,8.0,6.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,7.0,9.0,8.0,6.0,8.0,6.0,6.0,7.0,7.0,6.0,6.0,8.0
18,6.0,9.0,6.0,9.0,7.0,8.0,8.0,7.0,9.0,9.0,7.0,9.0,7.0,8.0,6.0,8.0,8.0,8.0,9.0,8.0,8.0,7.0,8.0,10.0,8.0,7.0,7.0,8.0,8.0,7.0,7.0,7.0,8.0
19,6.0,7.0,9.0,8.0,9.0,8.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,7.0,7.0,10.0,9.0,9.0,8.0,9.0
20,7.0,7.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,7.0,7.0,8.0,7.0,9.0,9.0,9.0,9.0,8.0,7.0,7.0,9.0,8.0,7.0,9.0,7.0,7.0,8.0,7.0,10.0,9.0,7.0,8.0,9.0
21,8.0,8.0,8.0,8.0,8.0,9.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,8.0,7.0,8.0,8.0,9.0,8.0,8.0,7.0,9.0
22,6.0,7.0,9.0,9.0,8.0,9.0,8.0,7.0,8.0,8.0,7.0,7.0,7.0,9.0,8.0,8.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,7.0,7.0,6.0,7.0,9.0,8.0,7.0,8.0,9.0
23,7.0,7.0,7.0,6.0,7.0,6.0,8.0,8.0,6.0,6.0,6.0,7.0,6.0,9.0,8.0,8.0,7.0,8.0,7.0,7.0,8.0,6.0,6.0,10.0,7.0,6.0,7.0,6.0,7.0,8.0,6.0,6.0,8.0
24,6.0,7.0,7.0,7.0,8.0,8.0,7.0,8.0,8.0,8.0,7.0,8.0,7.0,7.0,6.0,7.0,7.0,8.0,7.0,8.0,7.0,8.0,8.0,9.0,7.0,7.0,7.0,8.0,8.0,7.0,6.0,7.0,6.0
25,7.0,7.0,8.0,7.0,6.0,6.0,6.0,7.0,6.0,7.0,6.0,7.0,6.0,8.0,7.0,7.0,7.0,6.0,6.0,6.0,7.0,8.0,6.0,8.0,8.0,6.0,6.0,7.0,7.0,7.0,6.0,7.0,7.0
26,6.0,6.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,9.0,7.0,8.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0
27,7.0,6.0,7.0,6.0,7.0,7.0,6.0,9.0,6.0,8.0,7.0,7.0,6.0,6.0,7.0,7.0,6.0,7.0,6.0,7.0,6.0,7.0,6.0,8.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,7.0
28,7.0,9.0,10.0,8.0,10.0,9.0,7.0,10.0,9.0,9.0,8.0,10.0,10.0,6.0,8.0,8.0,6.0,7.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,8.0,10.0,10.0,8.0,8.0
29,8.0,8.0,9.0,8.0,9.0,8.0,8.0,10.0,8.0,8.0,7.0,9.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,9.0,9.0,10.0,8.0,10.0,8.0,8.0,8.0,9.0,8.0,9.0,8.0,7.0,8.0
30,7.0,7.0,7.0,7.0,6.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,6.0,7.0,6.0,7.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,9.0,7.0,6.0,6.0,7.0,8.0,7.0,6.0,6.0,8.0
31,7.0,9.0,7.0,6.0,7.0,8.0,7.0,8.0,8.0,7.0,6.0,7.0,6.0,6.0,7.0,6.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,9.0,7.0,8.0,7.0,7.0,8.0,7.0,7.0,6.0,7.0
32,7.0,6.0,8.0,7.0,8.0,7.0,8.0,8.0,7.0,8.0,6.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,6.0,8.0,7.0,7.0,7.0,9.0,7.0,7.0,7.0
33,7.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,7.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,8.0,9.0,10.0,9.0,8.0,8.0,9.0
34,6.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,6.0,8.0,7.0,7.0,6.0,8.0,8.0,7.0,8.0,9.0,7.0,7.0,8.0,9.0,7.0,7.0,6.0,7.0,8.0,7.0,7.0,6.0,7.0
35,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,7.0
36,8.0,8.0,9.0,7.0,8.0,8.0,6.0,10.0,8.0,9.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,10.0,8.0,10.0,7.0,7.0,8.0,8.0,7.0,9.0,8.0,8.0,8.0
37,7.0,7.0,7.0,7.0,8.0,7.0,6.0,8.0,6.0,7.0,6.0,7.0,6.0,7.0,6.0,7.0,7.0,8.0,7.0,8.0,8.0,8.0,6.0,8.0,7.0,7.0,6.0,6.0,8.0,7.0,7.0,7.0,8.0
38,7.0,6.0,7.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0,6.0,8.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0
39,6.0,6.0,8.0,7.0,9.0,7.0,7.0,8.0,8.0,8.0,6.0,7.0,7.0,7.0,8.0,8.0,7.0,7.0,8.0,9.0,9.0,8.0,7.0,8.0,8.0,7.0,8.0,7.0,8.0,8.0,8.0,7.0,8.0
40,7.0,8.0,9.0,9.0,9.0,8.0,9.0,10.0,8.0,9.0,7.0,9.0,8.0,8.0,8.0,9.0,9.0,10.0,9.0,10.0,8.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,8.0,6.0,6.0,10.0
41,8.0,9.0,9.0,7.0,10.0,8.0,8.0,10.0,9.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,7.0,9.0,8.0,9.0,10.0,9.0,9.0,10.0,9.0,8.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0
42,6.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,7.0,8.0,6.0,8.0,6.0,8.0,7.0,9.0,8.0,8.0,8.0,7.0,6.0,7.0,7.0,9.0,8.0,7.0,8.0,7.0,8.0,8.0,6.0,6.0,10.0
43,8.0,9.0,9.0,8.0,8.0,9.0,7.0,10.0,8.0,9.0,7.0,9.0,6.0,9.0,7.0,8.0,8.0,7.0,8.0,7.0,10.0,8.0,7.0,9.0,8.0,7.0,9.0,8.0,8.0,8.0,9.0,7.0,8.0
44,9.0,9.0,8.0,9.0,9.0,8.0,9.0,10.0,8.0,9.0,6.0,8.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,10.0,9.0,7.0,8.0,8.0,9.0,8.0,8.0,8.0,7.0
45,8.0,6.0,9.0,6.0,6.0,8.0,6.0,10.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,7.0,6.0,6.0,9.0,6.0,8.0,6.0,6.0,6.0,7.0
46,8.0,7.0,9.0,7.0,8.0,8.0,7.0,9.0,8.0,8.0,6.0,7.0,7.0,7.0,6.0,7.0,6.0,8.0,6.0,9.0,8.0,9.0,7.0,9.0,9.0,7.0,7.0,8.0,7.0,8.0,7.0,6.0,8.0
47,7.0,8.0,7.0,6.0,7.0,7.0,7.0,8.0,8.0,8.0,6.0,7.0,6.0,6.0,6.0,7.0,8.0,6.0,7.0,9.0,7.0,8.0,9.0,9.0,7.0,8.0,6.0,8.0,8.0,7.0,6.0,7.0,6.0
48,7.0,8.0,7.0,7.0,7.0,8.0,7.0,8.0,8.0,9.0,7.0,9.0,9.0,6.0,6.0,6.0,7.0,7.0,7.0,9.0,8.0,8.0,9.0,10.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,6.0,7.0
49,8.0,9.0,8.0,8.0,7.0,9.0,9.0,9.0,8.0,9.0,7.0,9.0,8.0,8.0,7.0,9.0,9.0,9.0,8.0,9.0,8.0,8.0,8.0,10.0,9.0,8.0,7.0,8.0,10.0,7.0,7.0,7.0,9.0
50,8.0,8.0,8.0,8.0,9.0,9.0,8.0,10.0,9.0,9.0,6.0,9.0,8.0,7.0,7.0,8.0,8.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,8.0,8.0,8.0,10.0,10.0,8.0,8.0,7.0,8.0
51,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0
52,6.0,7.0,7.0,6.0,6.0,8.0,8.0,9.0,6.0,9.0,6.0,8.0,7.0,6.0,9.0,6.0,6.0,6.0,6.0,8.0,6.0,8.0,9.0,9.0,8.0,8.0,7.0,7.0,7.0,7.0,6.0,7.0,6.0
53,9.0,9.0,8.0,8.0,7.0,9.0,9.0,9.0,7.0,8.0,6.0,9.0,6.0,8.0,7.0,9.0,9.0,7.0,7.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,7.0,8.0,8.0,8.0,7.0,7.0,9.0
54,6.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,8.0,7.0,6.0,7.0,8.0,8.0,6.0,6.0,6.0,7.0,6.0,8.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0
55,8.0,8.0,8.0,6.0,7.0,8.0,7.0,10.0,7.0,8.0,6.0,8.0,7.0,7.0,6.0,7.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,9.0,8.0,7.0,8.0,8.0,7.0,7.0,6.0,6.0,8.0
56,6.0,9.0,6.0,6.0,8.0,6.0,6.0,8.0,6.0,10.0,6.0,7.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,6.0,8.0,8.0,6.0,7.0,6.0,6.0,7.0,6.0,7.0,8.0,6.0,6.0,7.0
57,7.0,9.0,8.0,9.0,7.0,9.0,9.0,8.0,9.0,9.0,7.0,8.0,9.0,9.0,8.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,8.0,7.0,9.0,8.0,7.0,8.0,10.0
58,6.0,7.0,7.0,6.0,6.0,7.0,7.0,8.0,6.0,7.0,6.0,7.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,8.0,8.0,7.0,6.0,7.0,7.0,6.0,7.0,6.0,6.0,6.0
59,6.0,6.0,6.0,7.0,8.0,7.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,6.0,8.0,7.0,8.0,7.0,7.0,9.0,7.0,7.0,6.0,7.0,9.0,9.0,7.0,6.0,8.0
60,8.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,10.0,8.0,10.0,9.0,8.0,7.0,8.0,8.0,8.0,9.0,9.0,8.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,7.0,8.0
61,6.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,6.0,7.0,6.0,8.0,8.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,8.0,8.0,7.0,7.0,6.0,8.0,7.0,7.0,6.0,6.0,6.0
62,7.0,6.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,7.0,8.0,9.0,7.0,9.0,8.0,8.0,6.0,10.0,9.0,6.0,8.0,7.0,7.0,8.0,6.0,9.0,8.0,7.0,7.0,9.0
63,7.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,6.0,8.0,6.0,7.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,8.0,6.0,7.0,8.0,7.0,7.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,7.0
64,7.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,8.0,6.0,7.0,6.0,6.0,6.0,6.0,8.0,7.0,8.0,8.0,7.0,7.0,8.0,9.0,7.0,8.0,6.0,8.0,8.0,7.0,6.0,6.0,7.0
65,8.0,7.0,9.0,9.0,10.0,8.0,8.0,10.0,8.0,8.0,7.0,9.0,7.0,8.0,8.0,8.0,7.0,9.0,6.0,8.0,8.0,10.0,8.0,10.0,8.0,7.0,8.0,7.0,9.0,10.0,8.0,8.0,9.0
66,8.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,7.0,9.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,7.0,7.0,9.0
67,7.0,9.0,9.0,8.0,8.0,8.0,7.0,9.0,9.0,10.0,8.0,9.0,9.0,7.0,7.0,8.0,8.0,7.0,9.0,10.0,9.0,10.0,10.0,10.0,8.0,10.0,8.0,8.0,9.0,9.0,9.0,8.0,8.0
68,8.0,9.0,9.0,8.0,8.0,9.0,8.0,9.0,10.0,10.0,9.0,10.0,10.0,7.0,7.0,8.0,7.0,8.0,10.0,10.0,8.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,8.0,8.0,7.0,8.0
69,7.0,9.0,10.0,7.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,7.0,6.0,7.0,7.0,9.0,9.0,10.0,9.0,9.0,10.0,7.0,8.0,6.0,8.0,8.0,8.0,8.0,7.0,7.0
70,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,8.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0
71,6.0,7.0,8.0,8.0,8.0,7.0,8.0,7.0,8.0,8.0,6.0,8.0,8.0,8.0,7.0,7.0,6.0,8.0,8.0,9.0,7.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,6.0,6.0,7.0
72,8.0,7.0,8.0,7.0,8.0,6.0,6.0,10.0,7.0,8.0,6.0,8.0,8.0,6.0,7.0,7.0,6.0,6.0,7.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0
73,7.0,7.0,8.0,8.0,10.0,9.0,8.0,10.0,9.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,7.0,8.0,8.0,10.0,10.0,10.0,10.0,9.0,8.0,10.0,9.0,9.0,9.0,10.0,9.0,8.0,8.0
74,6.0,7.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,8.0,6.0,8.0,7.0,6.0,6.0,6.0,7.0,6.0,8.0,7.0,8.0,8.0,9.0,8.0,6.0,9.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0
75,7.0,9.0,9.0,8.0,9.0,9.0,7.0,9.0,8.0,8.0,8.0,8.0,9.0,8.0,7.0,9.0,8.0,7.0,9.0,9.0,10.0,9.0,9.0,9.0,7.0,9.0,8.0,9.0,9.0,9.0,8.0,7.0,9.0
76,7.0,8.0,8.0,8.0,6.0,9.0,8.0,7.0,8.0,8.0,7.0,8.0,6.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,7.0,8.0,9.0,7.0,8.0,8.0,9.0
77,6.0,6.0,9.0,6.0,8.0,7.0,6.0,8.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,8.0,8.0,8.0,7.0,6.0,6.0,6.0,6.0,7.0,8.0,7.0,6.0,7.0
78,8.0,7.0,7.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,6.0,8.0,8.0,8.0,9.0,9.0,7.0,8.0,7.0,8.0,8.0,10.0,8.0,7.0,8.0,7.0,9.0,8.0,6.0,6.0,10.0
79,7.0,8.0,8.0,8.0,7.0,8.0,8.0,6.0,7.0,8.0,8.0,7.0,7.0,8.0,8.0,7.0,8.0,7.0,9.0,9.0,8.0,9.0,8.0,9.0,7.0,8.0,6.0,8.0,9.0,7.0,8.0,8.0,8.0
80,6.0,6.0,7.0,6.0,7.0,6.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,6.0,8.0,7.0,6.0,7.0,6.0,8.0,8.0,6.0,6.0,7.0
81,6.0,6.0,6.0,6.0,7.0,6.0,6.0,7.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,8.0,8.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0
82,7.0,7.0,9.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,6.0,7.0,6.0,9.0,7.0,9.0,8.0,8.0,6.0,6.0,7.0,7.0,6.0,9.0,7.0,6.0,7.0,6.0,8.0,7.0,6.0,6.0,8.0
83,7.0,8.0,7.0,7.0,6.0,7.0,7.0,8.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,8.0,9.0,9.0,6.0,6.0,7.0,7.0,6.0,9.0,7.0,6.0,6.0,6.0,8.0,7.0,6.0,6.0,9.0
84,7.0,8.0,8.0,9.0,10.0,8.0,7.0,10.0,9.0,8.0,8.0,8.0,9.0,8.0,9.0,8.0,7.0,8.0,10.0,9.0,10.0,10.0,8.0,9.0,7.0,8.0,8.0,9.0,9.0,9.0,8.0,10.0,8.0
85,6.0,7.0,7.0,8.0,9.0,9.0,8.0,7.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,8.0,9.0,8.0,6.0,9.0,7.0,7.0,9.0,10.0,8.0,7.0,10.0
86,6.0,7.0,8.0,7.0,8.0,7.0,7.0,6.0,8.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,8.0,9.0,7.0,7.0,7.0
87,6.0,6.0,7.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,6.0,7.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0
88,7.0,7.0,9.0,8.0,9.0,9.0,8.0,8.0,10.0,7.0,7.0,8.0,7.0,8.0,9.0,9.0,7.0,8.0,8.0,8.0,10.0,10.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,9.0
89,6.0,7.0,6.0,7.0,7.0,6.0,8.0,8.0,6.0,6.0,6.0,7.0,6.0,8.0,7.0,7.0,6.0,7.0,6.0,7.0,7.0,7.0,6.0,9.0,8.0,6.0,7.0,6.0,7.0,7.0,7.0,6.0,8.0
90,6.0,6.0,6.0,7.0,9.0,7.0,8.0,9.0,7.0,6.0,7.0,8.0,6.0,7.0,8.0,7.0,7.0,7.0,7.0,6.0,8.0,8.0,7.0,9.0,7.0,7.0,6.0,7.0,9.0,7.0,8.0,7.0,8.0
91,8.0,7.0,8.0,9.0,8.0,7.0,8.0,7.0,8.0,6.0,7.0,8.0,6.0,8.0,9.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0,6.0,10.0,8.0,7.0,8.0,8.0,9.0,9.0,8.0,7.0,8.0
92,6.0,7.0,7.0,7.0,6.0,8.0,7.0,7.0,7.0,8.0,6.0,6.0,7.0,7.0,6.0,6.0,8.0,7.0,8.0,8.0,7.0,7.0,8.0,8.0,7.0,7.0,7.0,6.0,9.0,6.0,6.0,6.0,8.0
93,6.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,6.0,6.0,7.0,6.0,8.0,7.0,6.0,7.0,6.0,6.0,7.0,7.0,6.0,6.0,7.0
94,6.0,7.0,7.0,8.0,7.0,8.0,7.0,8.0,8.0,8.0,7.0,8.0,7.0,6.0,6.0,6.0,7.0,6.0,8.0,8.0,8.0,9.0,9.0,9.0,7.0,9.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0
95,9.0,6.0,6.0,6.0,7.0,7.0,6.0,7.0,7.0,7.0,6.0,8.0,8.0,10.0,6.0,9.0,9.0,9.0,8.0,9.0,7.0,8.0,9.0,8.0,6.0,8.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0
96,7.0,6.0,6.0,8.0,7.0,7.0,7.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,8.0,7.0,7.0,8.0,8.0,7.0,6.0,8.0,8.0,7.0,9.0,7.0,8.0,6.0,7.0
97,6.0,7.0,8.0,7.0,9.0,8.0,7.0,7.0,8.0,6.0,6.0,7.0,8.0,7.0,8.0,7.0,6.0,6.0,7.0,8.0,9.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,9.0,7.0,7.0,8.0
